Starting data_collector: writing to data\system_logs.jsonl
Wrote: 2025-10-27T12:08:13.724400 | CPU: 3.9%
Wrote: 2025-10-27T12:08:19.977783 | CPU: 14.3%
Wrote: 2025-10-27T12:08:26.008016 | CPU: 5.3%
Wrote: 2025-10-27T12:08:32.037227 | CPU: 11.5%
Wrote: 2025-10-27T12:08:38.067267 | CPU: 10.5%
Wrote: 2025-10-27T12:08:44.094224 | CPU: 10.0%
Wrote: 2025-10-27T12:08:50.121969 | CPU: 9.8%
Wrote: 2025-10-27T12:08:56.145868 | CPU: 11.5%
Wrote: 2025-10-27T12:09:02.165953 | CPU: 6.4%
Wrote: 2025-10-27T12:09:08.178467 | CPU: 13.7%
Wrote: 2025-10-27T12:09:14.200075 | CPU: 6.6%
Wrote: 2025-10-27T12:09:20.226165 | CPU: 14.1%
Wrote: 2025-10-27T12:09:26.252974 | CPU: 10.7%
Wrote: 2025-10-27T12:09:32.276655 | CPU: 9.8%
Wrote: 2025-10-27T12:09:38.308299 | CPU: 14.1%
Wrote: 2025-10-27T12:09:44.344078 | CPU: 3.8%
Wrote: 2025-10-27T12:09:50.373188 | CPU: 8.3%
Wrote: 2025-10-27T12:09:56.397332 | CPU: 15.5%
Wrote: 2025-10-27T12:10:02.426107 | CPU: 7.1%
Wrote: 2025-10-27T12:10:08.453947 | CPU: 8.4%
Wrote: 2025-10-27T12:10:14.485423 | CPU: 13.1%
Wrote: 2025-10-27T12:10:20.524014 | CPU: 14.9%
Wrote: 2025-10-27T12:10:26.550857 | CPU: 5.4%
Wrote: 2025-10-27T12:10:32.572893 | CPU: 6.1%
Wrote: 2025-10-27T12:10:38.598874 | CPU: 5.1%
Wrote: 2025-10-27T12:10:44.635348 | CPU: 10.7%
Wrote: 2025-10-27T12:10:50.657273 | CPU: 3.3%
Wrote: 2025-10-27T12:10:56.682083 | CPU: 11.8%
Wrote: 2025-10-27T12:11:02.700762 | CPU: 10.0%
Wrote: 2025-10-27T12:11:08.719047 | CPU: 13.8%
Wrote: 2025-10-27T12:11:14.745590 | CPU: 5.4%
Wrote: 2025-10-27T12:11:20.757334 | CPU: 10.1%
Wrote: 2025-10-27T12:11:26.769765 | CPU: 6.3%
Wrote: 2025-10-27T12:11:32.804214 | CPU: 9.4%
Wrote: 2025-10-27T12:11:38.850164 | CPU: 13.4%
Wrote: 2025-10-27T12:11:44.882325 | CPU: 5.8%
Wrote: 2025-10-27T12:11:50.905467 | CPU: 6.1%
Wrote: 2025-10-27T12:11:56.926606 | CPU: 16.9%
Wrote: 2025-10-27T12:12:02.936277 | CPU: 9.2%
Wrote: 2025-10-27T12:12:08.963633 | CPU: 8.8%
Wrote: 2025-10-27T12:12:15.010278 | CPU: 2.5%
Traceback (most recent call last):
  File "C:\Users\mprah\autotunder\data_collector.py", line 46, in <module>
    time.sleep(SLEEP_SECONDS)
KeyboardInterrupt
Starting data_collector: writing to data\system_logs.jsonl
Wrote: 2025-10-27T12:15:38.900125 | CPU: 3.0%
Wrote: 2025-10-27T12:15:45.182529 | CPU: 14.1%
Wrote: 2025-10-27T12:15:51.211868 | CPU: 7.5%
Wrote: 2025-10-27T12:15:57.249642 | CPU: 7.5%
Wrote: 2025-10-27T12:16:03.270300 | CPU: 12.6%
Wrote: 2025-10-27T12:16:09.289194 | CPU: 9.2%
Wrote: 2025-10-27T12:16:15.317780 | CPU: 17.8%
Wrote: 2025-10-27T12:16:21.338865 | CPU: 12.1%
Wrote: 2025-10-27T12:16:27.366716 | CPU: 10.0%
Wrote: 2025-10-27T12:16:33.403577 | CPU: 7.3%
Wrote: 2025-10-27T12:16:39.420381 | CPU: 9.9%
Wrote: 2025-10-27T12:16:45.440685 | CPU: 25.2%
Wrote: 2025-10-27T12:16:51.467413 | CPU: 10.7%
Wrote: 2025-10-27T12:16:57.491377 | CPU: 9.4%
Wrote: 2025-10-27T12:17:03.514346 | CPU: 7.9%
Wrote: 2025-10-27T12:17:09.542523 | CPU: 14.4%
Wrote: 2025-10-27T12:17:15.570284 | CPU: 9.7%
Wrote: 2025-10-27T12:17:21.598612 | CPU: 8.6%
Wrote: 2025-10-27T12:17:27.656944 | CPU: 12.2%
Wrote: 2025-10-27T12:17:33.681748 | CPU: 9.7%
Wrote: 2025-10-27T12:17:39.706628 | CPU: 6.1%
Wrote: 2025-10-27T12:17:45.739568 | CPU: 12.9%
Wrote: 2025-10-27T12:17:51.766331 | CPU: 4.1%
Wrote: 2025-10-27T12:17:57.793671 | CPU: 9.7%
Wrote: 2025-10-27T12:18:03.813851 | CPU: 10.8%
Wrote: 2025-10-27T12:18:09.833354 | CPU: 8.6%
Wrote: 2025-10-27T12:18:15.859217 | CPU: 4.5%
Wrote: 2025-10-27T12:18:21.897804 | CPU: 6.4%
Wrote: 2025-10-27T12:18:27.931076 | CPU: 3.8%
Wrote: 2025-10-27T12:18:33.956538 | CPU: 6.4%
Traceback (most recent call last):
  File "C:\Users\mprah\autotunder\data_collector.py", line 43, in <module>
    entry = sample_once()
  File "C:\Users\mprah\autotunder\data_collector.py", line 15, in sample_once
    "cpu_percent": psutil.cpu_percent(interval=1),
  File "C:\Users\mprah\miniconda3\envs\tf_env\lib\site-packages\psutil\__init__.py", line 1814, in cpu_percent
